"ID","USU_CUENTA","UNICODE","FECHA","EDAD","SEXO","ACT_ECONOMICA","ACT_ECONOMICA_OTRO","NIVEL_ESTUDIOS","CUALES_PLACA_SON_CHIRI","CARACT_AYUDAN_IDENTIFICAR_CHIRI","DONDE_BUSCA_CHIRI","HABLADO_OIDO_VISTO_CHIRI","QUIEN_HABLADO_CHIRI","QUIEN_HABLADO_CHIRI_OTRO","OIDO_VISTO_INFORMACION_CHIRI","OIDO_VISTO_INFORMACION_CHIRI_OTRO","RECIENTEMENTE_CHIRI_ZONA","COMO_ENTERADO","COMO_ENTERADO_OTRO","SABES_SENIALES_CHIRI","CHIRI_TRANSMITIR_ENFERMEDAD","QUE_ENFERMEDADES_TRANSMITE_CHIRI","QUE_ENFERMEDADES_TRANSMITE_CHIRI_OTRO","ULTIMO_ANIO_VIO_CHIRI","REPORTO_DENUNCIO_CHIRI","AQUIEN_REPORTO","AQUIEN_REPORTO_OTRO","VINIERON_CONFIRMAR_PRESENCIA_INSECTO","VIERA_CHIRI_CASA_QUE_HARIA","VIERA_CHIRI_CASA_QUE_HARIA_OTRO","COMO_COMUNICARSE_ALERTACHIRI","SOSPECHAS_CHIRI_CASA_QUE_HARIA","SOSPECHAS_CHIRI_CASA_QUE_HARIA_OTRO","SABE_QUE_PASA_DENUNCIA_REPORTE_CHIRI_CASA","SABE_QUE_PASA_DENUNCIA_REPORTE_CHIRI_CASA_OTRO","ESTE_ANIO_HA_VISTO_PERSONAL_SALUD","ULTIMO_ANIO_PERSONAL_SALUD_TOCO_PUERTA_CASA","HACE_CUANTO_TIEMPO_VISITARON","PERMITIO_INSPECTOR_INGRESE_CASA","RAZON_NO_PERMITIO_INSPECTOR_INGRESE_CASA","RAZON_NO_PERMITIO_INSPECTOR_INGRESE_CASA_OTRO","VA_BODEGAS_CERCANAS","FRECUENCIA_COMPRA_BODEGA","HACE_USO_APP","HA_VISTO_IMAGEN_MOSTRADA","VIO_IMAGEN_1","VIO_IMAGEN_1_OTRO","VIO_IMAGEN_1_LUGAR_CERCANO_U_OTRO_LUGAR","VIO_IMAGEN_1_LUGAR_CERCANO_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_1_EN_CASA_U_OTRO_LUGAR","VIO_IMAGEN_1_EN_CASA_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_2","VIO_IMAGEN_2_OTRO","VIO_IMAGEN_2_LUGAR_CERCANO_U_OTRO_LUGAR","VIO_IMAGEN_2_LUGAR_CERCANO_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_2_EN_CASA_U_OTRO_LUGAR","VIO_IMAGEN_2_EN_CASA_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_3","VIO_IMAGEN_3_OTRO","VIO_IMAGEN_3_LUGAR_CERCANO_U_OTRO_LUGAR","VIO_IMAGEN_3_LUGAR_CERCANO_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_3_EN_CASA_U_OTRO_LUGAR","VIO_IMAGEN_3_EN_CASA_U_OTRO_LUGAR_DONDE","NO_QUISO_RESPONDER_MAS","DATETIME","AGECLASS","OCCUPATIONS","OTHER_DISEASES","KNOWLEDGE_OF_DISEASE_TRANSMISSION","NS_NR","CHIRI_ADULTA","CHIRI_NIFA_3","CHIRI_NIFA_4_fl","CHIRI_NINFA_4_alim","COREIDO","CHINCHE_CAMA","CHINCHE_HEDIONDA","CUCARACHA","CHINCHE_CINTURON_AMARILLO","ESCARBAJO","GORGOJO","MOSCA","NS_NR_SENIALES","CHIRI_FECAL_TRAILS","CHINCHE_CAMA_FECES","MOUSE_FECES","MOLD","CHIRI_EGGS","CHIRI_FECAL_TRAIL","sum_vector_ID","sum_sign_ID","sum_correct_vector","sum_incorrect_vector","score_vectors","sum_correct_sign","sum_incorrect_sign","vector_cat","sign_cat","score_signs","score_signs_10","score_vectors_10","QUE_HARIA_CHIRIS","QUE_PASA_REPORTE","UNIVERSIDAD","AGENTE_COMUNIDAD","VECINO","FAMILIAR","PROFESIONAL_SALUD","OTRO","AMIGO","COLEGIO","OTRO_HABLADO","CUANDO_FUMIGARON","GOBIERNO_REGIONAL","PERIFONEO","NOTICIAS","PROFESIONAL_SALUD_TOT","POSTA","VECINDARIO","CALLE","OTRO_OIDO1","REDES_SOCIALES_OIDO","MEDIO_COMUNICACION_OIDO","CASA_FAMILIAR","COLEGIO_UNIVERSIDAD_OIDO","OTRO_OIDO","MEDIO_COMUNICACION"
43,"Zac","1.13.51.1831","2022-02-24",52,"F","trabajador_planilla",NA,"universidad","coreido-chiri_adulta-chiri_ninfa_4_alim","Su forma","Conejeros detras de cuadros","si_hablado","profesional_salud",NA,NA,NA,"no",NA,NA,"a","si","otro","Lesmidiasis","no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"buscaria_informacion",NA,"otro","Deberian fumigar pero no lo hacen","no",NA,NA,NA,NA,NA,"no",NA,"facebook","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 13:09:44","46-59","trabajador_planilla","Lesmidiasis","Lesmidiasis",0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,1,1,0,"adult+2ninf","solo fecal trails",1,11,11,"atraparia centro salud","No hacen nada",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0
44,"Mar","1.13.68A.3","2022-02-24",57,"F","ama_casa",NA,"secundaria","chiri_adulta-chiri_nifa_4_fl","Grande","Patio","si_oido_hablar_v",NA,NA,"otro","Casa de un familiar","no",NA,NA,"NS_NR","si","chagas",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"nada",NA,"fumigan",NA,"NS_NR",NA,NA,NA,NA,NA,"si","3_4_veces_semana","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 13:31:53","46-59","ama_casa",NA,"Chagas",0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,2,60,2,0,2,30,30,"adult+1ninf","NS_NR",NA,NA,12,"atraparia centro salud","fumigan",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,0
45,"Oca","1.13.51.197","2022-02-24",46,"F","ama_casa",NA,"secundaria","chiri_nifa_3-chiri_nifa_4_fl","Sus patas y antenas","Corrales","si_oido_hablar_v",NA,NA,"vecindario-medio_comunicacion",NA,"no",NA,NA,"a","si","chagas",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 13:32:45","46-59","ama_casa",NA,"Chagas",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,2,1,0,"solo 2ninf","solo fecal trails",1,11,12,"mataria","fumigan",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,1
46,"Rqa","1.13.1.312","2022-02-24",54,"M","trabajador_independiente",NA,"primaria","chiri_adulta","Son negritos con franjas ","En los rincones ","si_hablado","profesional_salud",NA,NA,NA,"NS_NR",NA,NA,"NS_NR","NS_NR",NA,NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"nada",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"no",NA,"facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 13:37:57","46-59","trabajador_independiente",NA,"NS_NR",0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,1,60,1,0,1,30,30,"solo adulta","NS_NR",NA,NA,11,"mataria","NS_NR",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0
47,"Lmr","1.13.50.4","2022-02-24",74,"M","trabajador_independiente",NA,"primaria","coreido-gorgojo","Negra","Chacra casa","no",NA,NA,NA,NA,"si","otro","Por los vecinos ","NS_NR","NS_NR",NA,NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"insecticida",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 13:52:17","60-100","trabajador_independiente",NA,"NS_NR",0,0,0,0,0,1,0,0,0,0,0,1,0,1,10,10,10,10,10,10,2,60,0,2,-2,30,30,"incorrect only(2)","NS_NR",NA,NA,8,"mataria","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
48,"Zac","1.13.51.1705","2022-02-24",77,"F","ama_casa",NA,"ninguno","gorgojo","No sabe ","Por los cajones","si_hablado","familiar",NA,NA,NA,"no",NA,NA,"NS_NR","si","NS_NR",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"otro","Limpiaria","NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 13:58:27","60-100","ama_casa",NA,"Si, pero no sabe/responde",0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,10,10,10,10,10,1,60,0,1,-1,30,30,"incorrect only(1)","NS_NR",NA,NA,9,"atraparia centro salud","NS_NR",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
49,"Lmr","1.13.50.50","2022-02-24",30,"F","ama_casa",NA,"secundaria","coreido-escarabajo","Color forma","Detrás de las cosas","si_hablado","profesional_salud",NA,NA,NA,"no",NA,NA,"NS_NR","si","NS_NR",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"insecticida",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","1_2_veces_semana","facebook-whatsapp-tiktok","si","otro","Posta",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,0,"2022-02-24 14:14:35","18-31","ama_casa",NA,"Si, pero no sabe/responde",0,0,0,0,0,1,0,0,0,0,1,0,0,1,10,10,10,10,10,10,2,60,0,2,-2,30,30,"incorrect only(2)","NS_NR",NA,NA,8,"mataria","NS_NR",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0
50,"Mar","1.13.68A.235","2022-02-24",45,"M","trabajador_independiente",NA,"secundaria","chiri_adulta-cucaracha","Color","Humedo","si_oido_hablar_v",NA,NA,"vecindario",NA,"no",NA,NA,"d","si","chagas",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"mataria",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"NS_NR",NA,"facebook","si","afiche",NA,"otro_lugar","En la posta",NA,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,0,"2022-02-24 14:18:30","32-45","trabajador_independiente",NA,"Chagas",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,1,"adult+1other","onlyincorrect(1)",-1,9,10,"mataria","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0
51,"Mls","1.13.50.946","2022-02-24",65,"F","trabajador_independiente",NA,"pre_escolar","chiri_adulta-chiri_ninfa_4_alim","Es grande con lineas","En el techo","no",NA,NA,NA,NA,"no",NA,NA,"NS_NR","no",NA,NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"mataria",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 14:28:26","60-100","trabajador_independiente",NA,"no",0,1,0,0,1,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,2,60,2,0,2,30,30,"adult+1ninf","NS_NR",NA,NA,12,"mataria","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
52,"Rqa","1.13.1.322","2022-02-24",59,"M","trabajador_independiente",NA,"secundaria","coreido-escarabajo","No sabe","En la chacra","NS_NR",NA,NA,NA,NA,"no",NA,NA,"NS_NR","si","otro","Infección ","no",NA,NA,NA,NA,"mataria",NA,NA,"insecticida",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","1_2_veces_semana","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 14:40:57","46-59","trabajador_independiente","Infección","Infección",0,0,0,0,0,1,0,0,0,0,1,0,0,1,10,10,10,10,10,10,2,60,0,2,-2,30,30,"incorrect only(2)","NS_NR",NA,NA,8,"mataria","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
